"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
19,"Spotify",5,"No","Yes","Yes","Rock","Yes","Yes",90,"2","1","1","2","1","3","4","1","4","2","3","2","3","2","4","2",10,8,7,0,"Improve"
19,"Spotify",3,"Yes","No","No","Jazz","Yes","No",118,"2","1","2","1","1","4","4","2","3","4","1","3","3","3","2","4",3,0,0,0,"Improve"
22,"Spotify",2,"Yes","No","No","K pop","Yes","Yes",126,"1","1","4","1","1","3","1","4","1","1","1","3","1","3","4","2",7,8,5,1,"No effect"
16,"Spotify",2.5,"Yes","Yes","Yes","Rock","Yes","Yes",103,"2","3","1","4","1","2","3","1","3","3","2","4","2","1","4","2",2,1,0,0,"Improve"
19,"Spotify",3,"Yes","No","No","R&B","Yes","Yes",77,"2","1","3","1","1","4","2","4","2","2","2","4","4","4","2","4",5,4,0,1,"Improve"
37,"Spotify",1,"Yes","No","No","Rock","No","No",115,"2","2","2","2","1","2","2","2","1","2","2","3","2","2","4","1",9,10,6,10,"No effect"
14,"Spotify",7,"Yes","Yes","No","Jazz","No","No",110,"2","1","4","1","1","1","4","1","3","1","1","3","1","1","4","4",2,0,0,0,"Improve"
33,"I do not use a streaming service.",1,"No","No","No","Metal","No","Yes",148.352712549668,"2","3","3","1","1","3","1","1","2","1","4","3","2","3","3","3",5,2,5,1,"Improve"
26,"Spotify",1,"No","No","No","R&B","No","No",113,"2","3","1","3","1","4","4","1","1","1","4","4","4","4","4","1",3,2,0,0,"No effect"
32,"Spotify",3,"Yes","No","No","Hip hop","No","No",157,"1","1","2","1","1","4","1","1","3","2","1","3","4","4","2","1",2,0,7,0,"No effect"
30,"Spotify",5,"Yes","Yes","No","Metal","Yes","No",160,"3","2","1","3","1","2","1","1","1","1","4","3","1","1","4","1",7,6,6,2,"No effect"
43,"I do not use a streaming service.",6,"Yes","Yes","Yes","Video game music","Yes","Yes",109,"3","2","4","2","2","2","2","3","2","4","2","3","2","1","3","4",5,4,8,3,"No effect"
24,"Spotify",4,"Yes","No","No","Classical","Yes","Yes",175,"4","2","2","1","1","2","2","1","1","1","3","4","2","1","4","2",4,6,5,3,"Improve"
36,"YouTube Music",1,"Yes","No","No","Rock","Yes","No",110,"3","2","1","1","1","1","1","1","1","1","2","3","2","2","4","1",6,2,3,1,"Improve"
19,"YouTube Music",4,"Yes","No","No","Video game music","Yes","No",162,"2","1","2","1","1","2","3","1","1","3","1","3","1","1","2","4",8,2,1,6,"Improve"
22,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",189,"2","4","1","4","1","1","2","1","1","1","4","2","1","2","3","3",9,6,0,6,"Improve"
20,"Spotify",3,"No","No","Yes","EDM","Yes","Yes",121,"2","3","4","1","1","3","1","2","1","3","1","3","1","3","3","2",0,3,7,0,"Improve"
31,"Spotify",2,"No","No","No","Rock","Yes","No",200,"2","2","1","2","1","2","2","1","1","2","3","3","1","2","4","1",8,9,6,2,"Improve"
19,"Spotify",4,"Yes","No","No","Metal","Yes","Yes",105,"3","1","1","1","1","3","3","2","1","1","3","3","2","3","4","2",4,1,1,1,"Improve"
15,"Spotify",8,"Yes","No","No","Rock","No","No",193,"1","1","1","1","1","1","1","1","1","1","3","2","1","1","4","2",8,7,5,0,"Improve"
18,"Spotify",2,"No","Yes","Yes","Metal","Yes","Yes",149,"1","1","2","1","1","3","1","1","1","1","4","3","1","2","4","2",3,4,6,1,"Improve"
25,"I do not use a streaming service.",0.5,"No","Yes","No","Classical","No","No",140,"4","1","1","1","2","1","3","1","3","1","2","2","2","1","4","3",1,1,3,1,"Improve"
17,"Apple Music",5,"Yes","No","No","Metal","Yes","No",134,"1","2","1","1","1","3","1","1","1","2","4","3","3","3","4","2",10,8,6,7,"No effect"
28,"YouTube Music",1,"No","No","No","Rock","Yes","No",120,"2","1","4","3","1","1","1","1","1","2","2","2","1","1","3","2",6,6,2,0,"No effect"
20,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",170,"1","1","2","1","1","2","1","3","1","2","2","3","3","2","4","3",6,7,0,0,"Improve"
21,"YouTube Music",2,"Yes","Yes","No","Metal","Yes","Yes",107,"3","2","1","4","1","1","2","1","1","2","4","2","1","2","3","4",8,4,10,0,"No effect"
41,"Spotify",3,"Yes","No","No","Pop","No","Yes",113,"3","1","2","2","2","4","3","2","2","1","2","4","4","3","4","1",9,7,6,2,"No effect"
20,"Spotify",2,"Yes","Yes","No","Pop","Yes","No",126,"1","1","3","1","1","2","1","1","1","1","1","4","1","2","4","3",7,4,6,5,"Improve"
34,"Other streaming service",4,"Yes","No","No","Metal","Yes","Yes",161,"2","1","3","1","1","3","2","1","1","1","4","2","1","3","3","2",6,7,0,0,"No effect"
21,"YouTube Music",3,"Yes","No","Yes","Metal","Yes","No",128.741430659341,"3","2","1","3","1","1","1","1","1","1","4","4","1","1","4","2",10,0,10,10,"Improve"
23,"Spotify",2,"Yes","No","No","Metal","Yes","Yes",100,"2","1","1","2","1","1","1","1","1","3","4","2","1","1","3","2",6,3,0,1,"Improve"
16,"Spotify",3,"No","No","No","Pop","No","No",140,"2","1","1","1","1","3","2","1","2","1","1","4","3","2","1","1",7,5,5,3,"Improve"
19,"YouTube Music",4,"Yes","No","No","Pop","Yes","No",156,"2","2","2","2","1","3","2","2","1","1","2","4","2","3","3","3",7,10,5,0,"Improve"
22,"Spotify",2,"Yes","Yes","No","Rock","Yes","Yes",98,"3","1","1","2","1","3","3","1","3","2","2","4","3","3","4","3",8,6,0,0,"Improve"
19,"Spotify",8,"Yes","No","No","K pop","Yes","Yes",100,"4","1","2","1","1","3","3","4","1","4","1","4","3","2","2","2",4,3,0,0,"Improve"
23,"Spotify",4,"Yes","No","No","Hip hop","Yes","Yes",78,"2","1","3","3","1","4","2","4","3","4","2","4","4","4","3","3",7,6,7,5,"Improve"
23,"Spotify",2,"No","Yes","No","Metal","No","Yes",117,"1","1","2","1","1","2","2","1","1","1","4","1","1","2","3","1",7,3,2,3,"Improve"
22,"Spotify",1,"No","No","Yes","EDM","Yes","No",128,"1","1","4","1","2","3","3","1","1","1","1","4","4","3","3","1",2,7,5,0,"Improve"
17,"Spotify",3,"Yes","No","No","Rock","Yes","No",130,"2","3","3","3","1","2","2","2","1","4","3","4","4","3","4","3",7,8,6,5,"Improve"
28,"Spotify",0.5,"No","No","No","Folk","Yes","No",130,"2","3","1","4","1","2","2","1","1","1","1","3","1","2","4","2",4,7,1,0,"Improve"
23,"Spotify",2,"No","No","No","Rock","Yes","Yes",141.818138692132,"1","1","1","1","1","3","1","3","1","1","4","4","1","3","4","3",7,8,5,1,"No effect"
19,"Apple Music",3,"Yes","No","No","Rock","Yes","Yes",126,"1","3","3","1","1","4","1","1","1","2","2","2","2","3","4","3",5,2,8,6,"Improve"
17,"Spotify",2,"Yes","Yes","Yes","Hip hop","Yes","Yes",122,"2","1","3","3","1","4","3","2","2","2","4","2","2","4","4","1",10,7,4,2,"Improve"
21,"YouTube Music",1,"No","No","No","Rock","Yes","No",179,"1","2","1","2","1","3","2","1","1","4","3","2","3","3","4","2",6,5,0,0,"No effect"
29,"Other streaming service",5,"Yes","No","No","Jazz","Yes","Yes",200,"2","1","1","2","1","1","4","1","2","2","2","1","3","1","4","3",7,2,3,1,"Improve"
22,"Spotify",10,"No","Yes","Yes","EDM","No","Yes",128,"3","3","4","4","1","1","2","1","1","1","2","1","2","1","3","3",4,7,7,3,"Improve"
18,"Spotify",4,"Yes","Yes","Yes","Pop","Yes","Yes",130,"3","2","3","2","1","2","3","3","3","3","4","4","2","2","4","4",4,5,6,5,"Improve"
13,"Spotify",2,"Yes","Yes","Yes","Rock","Yes","No",120,"2","1","3","4","2","3","1","1","1","3","3","4","2","4","4","4",7,10,5,6,"Worsen"
24,"Spotify",1,"No","No","No","Metal","Yes","No",86,"3","1","2","2","1","2","1","1","1","1","4","3","3","3","4","2",6,4,5,0,"Improve"
35,"Spotify",6,"Yes","No","No","Rock","Yes","Yes",166,"3","2","3","4","1","2","3","2","2","3","3","3","2","2","4","3",4,1,3,1,"No effect"
29,"YouTube Music",1,"Yes","Yes","No","Video game music","Yes","No",110,"3","1","1","2","3","1","2","1","1","1","1","3","2","1","3","3",6,6,1,2,"Improve"
28,"Spotify",6,"Yes","No","No","Rock","No","No",144,"3","2","1","3","1","2","2","1","2","2","3","3","3","2","4","4",10,8,7,1,"Improve"
32,"Spotify",7,"Yes","No","No","Pop","Yes","Yes",120,"3","1","2","1","1","3","2","1","1","2","2","4","4","4","4","4",10,8,2,8,"Improve"
32,"Other streaming service",1,"No","No","No","EDM","Yes","No",120,"2","1","4","2","2","3","2","1","2","2","1","3","2","2","2","1",3,6,2,0,"No effect"
21,"Spotify",3,"Yes","Yes","No","Rock","Yes","No",160,"1","1","1","4","1","3","1","1","1","3","4","2","1","2","4","3",8,9,2,0,"Improve"
18,"Spotify",2,"Yes","Yes","No","Video game music","No","Yes",101,"1","1","3","1","1","2","1","1","1","2","1","2","1","1","3","4",8,3,8,7,"Improve"
19,"Spotify",3,"Yes","Yes","No","Classical","Yes","No",122,"4","2","1","1","1","1","1","2","1","3","1","4","1","1","2","3",3,3,1,2,"Improve"
18,"Apple Music",2,"Yes","Yes","No","Pop","Yes","Yes",126.218951034955,"2","2","1","1","1","2","1","4","2","2","2","4","2","2","2","1",6,5,2,0,"Improve"
16,"YouTube Music",3,"Yes","No","Yes","Pop","No","No",118.905831710865,"2","3","3","1","1","2","1","3","1","3","1","4","1","2","4","2",0,0,4,0,"No effect"
25,"Spotify",1.5,"Yes","No","No","Pop","No","No",61,"3","2","2","3","1","2","1","1","1","2","2","4","4","2","4","1",6,5,0,2,"Improve"
17,"Spotify",4,"Yes","No","No","Lofi","Yes","Yes",79,"4","1","1","1","3","3","2","3","1","4","1","4","3","3","2","4",3,8,0,0,"Improve"
